2016-10-23 13:33:33.1455 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:34.6275 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:36.2499 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:38.0283 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:39.7599 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:41.4291 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:43.0827 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:44.6115 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:46.1403 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:47.9031 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:49.6347 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:51.4131 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:52.9575 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:54.5487 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:56.0775 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:57.8247 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:33:59.5875 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:01.3659 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:02.9103 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:04.5171 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:06.1239 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:07.8867 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:09.5871 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:11.3968 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:13.0816 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 13:34:14.6104 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

