2016-10-23 00:00:46.2749 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/AnIn1GGIO2.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 56 Value : 0 

2016-10-23 00:00:47.1919 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:48.5210 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:49.7541 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:50.9591 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:52.2382 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:53.6573 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:55.1104 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:56.4455 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:57.5975 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:00:58.8796 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:00.0907 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:01.2457 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:02.5488 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:04.0289 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:05.4260 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:06.7340 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:07.9701 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:09.2072 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:10.4083 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:11.5593 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:11.7753 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/AnIn2GGIO3.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 65 Value : 0 

2016-10-23 00:01:12.8674 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:14.3175 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:15.7296 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:17.0196 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:18.3647 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:19.5348 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:20.7038 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:21.8179 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:22.9830 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:24.4021 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:25.8001 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:27.0402 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:28.5023 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:29.8254 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:30.9644 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:32.0995 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:33.2936 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:34.5956 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:35.9537 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:37.2368 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:37.5058 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/AnIn3GGIO4.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 74 Value : 0 

2016-10-23 00:01:38.7129 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:40.1010 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:41.2520 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:42.4251 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:43.6662 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:44.9192 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:46.1893 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:47.5034 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:48.9735 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:50.5236 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:51.8206 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:53.0167 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:54.2428 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:55.4148 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:56.5369 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:57.7970 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:01:59.2681 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:00.6861 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:02.0232 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:03.3563 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:03.5943 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXGeneral/AnIn5GGIO6.Beh.ST.stVal Value: 1 , Backend Type : HReg Addr : 83 Value : 0 

2016-10-23 00:02:04.6164 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:05.7974 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:06.9435 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:08.1446 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:09.6516 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:11.0337 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:12.3358 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:13.8469 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-23 00:02:15.1350 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

