2016-10-22 18:05:24.0863 | INFO | _61850_Client_v1._0a.atopLog | Wait 1 Minute 

2016-10-22 18:06:24.1098 | INFO | _61850_Client_v1._0a.atopLog | Poll Static Start 

2016-10-22 18:06:24.7988 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:25.6998 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:25.9179 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/LLN0.Beh.ST.stVal Value: 1 , Backend Type : IReg Addr : 2 Value : 0 

2016-10-22 18:06:26.5839 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:27.4419 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:28.3660 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:29.3691 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:30.3111 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:30.5621 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.Beh.ST.stVal Value: 1 , Backend Type : IReg Addr : 10 Value : 0 

2016-10-22 18:06:31.2952 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:32.2542 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:33.1903 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:34.1043 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:34.9684 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:35.1744 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn2.CF.units.SIUnit Value: 52 , Backend Type : IReg Addr : 15 Value : 0 

2016-10-22 18:06:35.8354 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:36.6985 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:37.5375 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:38.3666 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:39.3696 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:40.3317 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:41.3277 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:42.2668 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:43.2568 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:43.4769 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn5.CF.units.SIUnit Value: 5 , Backend Type : IReg Addr : 21 Value : 0 

2016-10-22 18:06:44.2869 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:45.1470 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:45.9810 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:46.1990 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn6.CF.units.SIUnit Value: 1 , Backend Type : IReg Addr : 23 Value : 0 

2016-10-22 18:06:46.8511 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:47.7081 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:48.5782 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:48.8152 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn7.CF.units.SIUnit Value: 1 , Backend Type : IReg Addr : 25 Value : 0 

2016-10-22 18:06:49.4832 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:50.4503 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:51.4433 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:51.6643 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn8.CF.units.SIUnit Value: 1 , Backend Type : IReg Addr : 27 Value : 0 

2016-10-22 18:06:52.4104 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:53.3634 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:54.4535 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:54.6675 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn9.CF.units.SIUnit Value: 1 , Backend Type : IReg Addr : 29 Value : 0 

2016-10-22 18:06:55.4145 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:56.2746 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:57.1336 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:57.3587 | INFO | _61850_Client_v1._0a.atopLog | TRANSFIXOilSourceA/MeasGGIO1.AnIn10.CF.units.SIUnit Value: 1 , Backend Type : IReg Addr : 31 Value : 0 

2016-10-22 18:06:57.9997 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:58.8957 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:06:59.7838 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:00.6868 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:01.6139 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:02.5810 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:03.5410 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:04.5851 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:05.5811 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:06.4682 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:07.3412 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:08.2183 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:09.1043 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:10.0254 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:10.9204 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

2016-10-22 18:07:11.8905 | INFO | _61850_Client_v1._0a.atopLog | Submit Command : Success 

